Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment_Score,Customer_Segment
185,168,9,24331,3,4,4,344,11,Loyal / VIP
186,396,3,9097,1,1,2,112,4,At Risk
187,543,1,2670,1,1,1,111,3,Lost
188,63,4,7701,4,2,1,421,7,Potential Loyal
189,616,2,6569,1,1,1,111,3,Lost
190,1076,1,4361,1,1,1,111,3,Lost
191,1143,2,4200,1,1,1,111,3,Lost
192,43,8,28832,4,4,4,444,12,Loyal / VIP
193,82,5,12514,3,2,2,322,7,Potential Loyal
194,19,6,10066,4,3,2,432,9,Loyal / VIP
195,168,6,18840,3,3,4,334,10,Loyal / VIP
196,441,5,13926,1,2,3,123,6,Potential Loyal
197,181,4,10354,3,2,2,322,7,Potential Loyal
198,137,7,17553,3,4,3,343,10,Loyal / VIP
199,308,6,14136,2,3,3,233,8,Potential Loyal
200,97,8,20775,3,4,4,344,11,Loyal / VIP
201,13,2,3149,4,1,1,411,6,Potential Loyal
202,170,6,15209,3,3,3,333,9,Loyal / VIP
203,436,3,6566,1,1,1,111,3,Lost
204,76,12,29420,4,4,4,444,12,Loyal / VIP
205,146,11,23103,3,4,4,344,11,Loyal / VIP
206,33,6,18103,4,3,4,434,11,Loyal / VIP
207,213,8,21171,2,4,4,244,10,Loyal / VIP
208,324,8,21596,2,4,4,244,10,Loyal / VIP
209,5,7,17402,4,4,3,443,11,Loyal / VIP
210,19,7,19595,4,4,4,444,12,Loyal / VIP
211,131,10,20362,3,4,4,344,11,Loyal / VIP
212,114,6,15762,3,3,3,333,9,Loyal / VIP
213,301,6,10744,2,3,2,232,7,Potential Loyal
214,205,3,11660,2,1,2,212,5,At Risk
215,378,4,11725,1,2,2,122,5,At Risk
216,92,8,26535,3,4,4,344,11,Loyal / VIP
217,118,5,8551,3,2,1,321,6,Potential Loyal
218,488,8,21620,1,4,4,144,9,Loyal / VIP
219,17,6,13360,4,3,3,433,10,Loyal / VIP
220,207,4,7400,2,2,1,221,5,At Risk
221,258,6,21964,2,3,4,234,9,Loyal / VIP
222,139,4,10799,3,2,2,322,7,Potential Loyal
223,27,4,10202,4,2,2,422,8,Potential Loyal
224,74,6,16799,4,3,3,433,10,Loyal / VIP
225,2,3,7280,4,1,1,411,6,Potential Loyal
226,41,5,12910,4,2,2,422,8,Potential Loyal
227,311,4,9489,2,2,2,222,6,Potential Loyal
228,128,4,7175,3,2,1,321,6,Potential Loyal
229,329,6,18119,2,3,4,234,9,Loyal / VIP
230,43,10,29553,4,4,4,444,12,Loyal / VIP
231,277,6,15841,2,3,3,233,8,Potential Loyal
232,289,6,23483,2,3,4,234,9,Loyal / VIP
233,383,5,15177,1,2,3,123,6,Potential Loyal
234,64,4,7910,4,2,1,421,7,Potential Loyal
235,376,4,14572,1,2,3,123,6,Potential Loyal
236,87,10,22060,3,4,4,344,11,Loyal / VIP
237,393,7,17112,1,4,3,143,8,Potential Loyal
238,26,8,25783,4,4,4,444,12,Loyal / VIP
239,239,7,20511,2,4,4,244,10,Loyal / VIP
240,180,4,7011,3,2,1,321,6,Potential Loyal
241,206,3,3491,2,1,1,211,4,At Risk
242,160,3,5090,3,1,1,311,5,At Risk
243,92,7,19370,3,4,4,344,11,Loyal / VIP
244,303,7,15342,2,4,3,243,9,Loyal / VIP
245,654,3,7939,1,1,1,111,3,Lost
246,114,3,11308,3,1,2,312,6,Potential Loyal
247,626,5,8715,1,2,1,121,4,At Risk
248,213,6,24306,2,3,4,234,9,Loyal / VIP
249,1205,1,2240,1,1,1,111,3,Lost
250,96,7,22091,3,4,4,344,11,Loyal / VIP
251,35,8,24661,4,4,4,444,12,Loyal / VIP
252,650,5,10043,1,2,2,122,5,At Risk
253,46,8,23104,4,4,4,444,12,Loyal / VIP
254,401,4,12119,1,2,2,122,5,At Risk
255,659,5,12999,1,2,2,122,5,At Risk
256,136,3,7389,3,1,1,311,5,At Risk
257,467,4,12211,1,2,2,122,5,At Risk
258,69,6,17437,4,3,3,433,10,Loyal / VIP
259,189,4,17652,2,2,3,223,7,Potential Loyal
260,86,6,12523,3,3,2,332,8,Potential Loyal
261,77,8,20949,4,4,4,444,12,Loyal / VIP
262,139,8,22365,3,4,4,344,11,Loyal / VIP
263,70,8,20142,4,4,4,444,12,Loyal / VIP
264,189,10,33074,2,4,4,244,10,Loyal / VIP
265,83,5,18780,3,2,4,324,9,Loyal / VIP
266,38,7,10856,4,4,2,442,10,Loyal / VIP
267,25,5,16595,4,2,3,423,9,Loyal / VIP
268,405,3,5628,1,1,1,111,3,Lost
269,183,7,21577,3,4,4,344,11,Loyal / VIP
270,4,6,17030,4,3,3,433,10,Loyal / VIP
271,55,5,19721,4,2,4,424,10,Loyal / VIP
272,540,3,8898,1,1,2,112,4,At Risk
273,220,6,16602,2,3,3,233,8,Potential Loyal
274,472,6,17449,1,3,3,133,7,Potential Loyal
275,27,3,5288,4,1,1,411,6,Potential Loyal
276,283,5,9196,2,2,2,222,6,Potential Loyal
277,140,7,15709,3,4,3,343,10,Loyal / VIP
278,5,10,31691,4,4,4,444,12,Loyal / VIP
279,349,4,5772,2,2,1,221,5,At Risk
280,372,5,6532,1,2,1,121,4,At Risk
281,207,2,6795,2,1,1,211,4,At Risk
282,107,8,26379,3,4,4,344,11,Loyal / VIP
283,216,6,21425,2,3,4,234,9,Loyal / VIP
284,257,3,7773,2,1,1,211,4,At Risk
285,323,9,28106,2,4,4,244,10,Loyal / VIP
286,450,2,7637,1,1,1,111,3,Lost
287,887,1,2295,1,1,1,111,3,Lost
288,80,5,16691,3,2,3,323,8,Potential Loyal
289,264,6,14827,2,3,3,233,8,Potential Loyal
290,350,4,10409,2,2,2,222,6,Potential Loyal
291,252,4,12458,2,2,2,222,6,Potential Loyal
292,317,4,5470,2,2,1,221,5,At Risk
293,106,5,13042,3,2,3,323,8,Potential Loyal
294,186,3,10651,3,1,2,312,6,Potential Loyal
295,121,2,2904,3,1,1,311,5,At Risk
296,567,6,16269,1,3,3,133,7,Potential Loyal
297,45,11,27103,4,4,4,444,12,Loyal / VIP
298,76,5,10434,4,2,2,422,8,Potential Loyal
299,512,5,17284,1,2,3,123,6,Potential Loyal
300,129,6,11344,3,3,2,332,8,Potential Loyal
301,109,3,9117,3,1,2,312,6,Potential Loyal
302,45,7,19850,4,4,4,444,12,Loyal / VIP
303,169,4,14014,3,2,3,323,8,Potential Loyal
304,141,7,16462,3,4,3,343,10,Loyal / VIP
305,176,5,12211,3,2,2,322,7,Potential Loyal
306,435,4,11545,1,2,2,122,5,At Risk
307,864,1,4972,1,1,1,111,3,Lost
308,13,3,9405,4,1,2,412,7,Potential Loyal
309,335,3,7314,2,1,1,211,4,At Risk
310,18,3,13092,4,1,3,413,8,Potential Loyal
311,398,7,15544,1,4,3,143,8,Potential Loyal
312,542,3,6864,1,1,1,111,3,Lost
313,16,9,27974,4,4,4,444,12,Loyal / VIP
314,74,4,9955,4,2,2,422,8,Potential Loyal
315,126,11,32676,3,4,4,344,11,Loyal / VIP
316,175,3,2748,3,1,1,311,5,At Risk
317,334,3,14315,2,1,3,213,6,Potential Loyal
318,104,9,25467,3,4,4,344,11,Loyal / VIP
319,169,5,16758,3,2,3,323,8,Potential Loyal
320,95,5,12356,3,2,2,322,7,Potential Loyal
321,670,4,8310,1,2,1,121,4,At Risk
322,299,5,16585,2,2,3,223,7,Potential Loyal
323,246,3,7726,2,1,1,211,4,At Risk
324,1,5,13370,4,2,3,423,9,Loyal / VIP
325,434,8,23078,1,4,4,144,9,Loyal / VIP
326,170,5,13314,3,2,3,323,8,Potential Loyal
327,42,6,18548,4,3,4,434,11,Loyal / VIP
328,392,6,9666,1,3,2,132,6,Potential Loyal
329,582,8,28031,1,4,4,144,9,Loyal / VIP
330,383,9,26298,1,4,4,144,9,Loyal / VIP
331,294,5,14475,2,2,3,223,7,Potential Loyal
332,21,6,16503,4,3,3,433,10,Loyal / VIP
333,142,4,11409,3,2,2,322,7,Potential Loyal
334,81,5,9034,3,2,2,322,7,Potential Loyal
335,134,6,20173,3,3,4,334,10,Loyal / VIP
336,879,2,5454,1,1,1,111,3,Lost
337,127,4,11645,3,2,2,322,7,Potential Loyal
338,75,4,8926,4,2,2,422,8,Potential Loyal
339,151,5,16131,3,2,3,323,8,Potential Loyal
340,28,10,33669,4,4,4,444,12,Loyal / VIP
341,455,5,7945,1,2,1,121,4,At Risk
342,106,10,28585,3,4,4,344,11,Loyal / VIP
343,526,5,11403,1,2,2,122,5,At Risk
344,503,7,17832,1,4,3,143,8,Potential Loyal
345,1,7,13967,4,4,3,443,11,Loyal / VIP
346,77,5,14283,4,2,3,423,9,Loyal / VIP
347,161,6,17563,3,3,3,333,9,Loyal / VIP
348,185,9,25727,3,4,4,344,11,Loyal / VIP
349,250,4,13096,2,2,3,223,7,Potential Loyal
350,377,5,16661,1,2,3,123,6,Potential Loyal
351,237,8,17230,2,4,3,243,9,Loyal / VIP
352,336,3,6959,2,1,1,211,4,At Risk
353,73,7,19498,4,4,4,444,12,Loyal / VIP
354,221,4,16174,2,2,3,223,7,Potential Loyal
355,284,3,7767,2,1,1,211,4,At Risk
356,471,4,11498,1,2,2,122,5,At Risk
357,264,6,22995,2,3,4,234,9,Loyal / VIP
358,31,4,13566,4,2,3,423,9,Loyal / VIP
359,219,5,16589,2,2,3,223,7,Potential Loyal
360,28,5,10562,4,2,2,422,8,Potential Loyal
361,31,3,6893,4,1,1,411,6,Potential Loyal
362,1293,1,4964,1,1,1,111,3,Lost
363,64,5,14543,4,2,3,423,9,Loyal / VIP
364,85,6,14827,3,3,3,333,9,Loyal / VIP
365,535,3,7992,1,1,1,111,3,Lost
366,476,2,3288,1,1,1,111,3,Lost
367,95,3,8455,3,1,1,311,5,At Risk
368,512,2,2052,1,1,1,111,3,Lost
369,88,4,12817,3,2,2,322,7,Potential Loyal
370,154,6,14914,3,3,3,333,9,Loyal / VIP
371,437,5,10024,1,2,2,122,5,At Risk
372,234,5,14200,2,2,3,223,7,Potential Loyal
373,1119,2,7553,1,1,1,111,3,Lost
374,5,7,25461,4,4,4,444,12,Loyal / VIP
375,481,4,12176,1,2,2,122,5,At Risk
376,129,7,24007,3,4,4,344,11,Loyal / VIP
377,36,6,15264,4,3,3,433,10,Loyal / VIP
378,741,3,10739,1,1,2,112,4,At Risk
379,431,3,13401,1,1,3,113,5,At Risk
380,50,4,12376,4,2,2,422,8,Potential Loyal
381,131,4,10658,3,2,2,322,7,Potential Loyal
382,81,3,6765,3,1,1,311,5,At Risk
383,156,4,10593,3,2,2,322,7,Potential Loyal
384,88,6,14018,3,3,3,333,9,Loyal / VIP
385,247,6,16038,2,3,3,233,8,Potential Loyal
386,74,5,11103,4,2,2,422,8,Potential Loyal
387,142,3,6514,3,1,1,311,5,At Risk
388,104,4,15756,3,2,3,323,8,Potential Loyal
389,21,5,11814,4,2,2,422,8,Potential Loyal
390,169,3,13721,3,1,3,313,7,Potential Loyal
391,441,5,12602,1,2,2,122,5,At Risk
392,198,4,10354,2,2,2,222,6,Potential Loyal
393,294,5,11362,2,2,2,222,6,Potential Loyal
394,616,5,13415,1,2,3,123,6,Potential Loyal
395,226,2,4099,2,1,1,211,4,At Risk
396,836,5,23468,1,2,4,124,7,Potential Loyal
397,295,6,9519,2,3,2,232,7,Potential Loyal
398,68,6,17712,4,3,3,433,10,Loyal / VIP
399,420,4,13606,1,2,3,123,6,Potential Loyal
400,24,8,26338,4,4,4,444,12,Loyal / VIP
401,71,8,13078,4,4,3,443,11,Loyal / VIP
402,38,9,24017,4,4,4,444,12,Loyal / VIP
403,298,6,25165,2,3,4,234,9,Loyal / VIP
404,92,7,16247,3,4,3,343,10,Loyal / VIP
405,142,2,4577,3,1,1,311,5,At Risk
406,386,8,16833,1,4,3,143,8,Potential Loyal
407,340,2,2780,2,1,1,211,4,At Risk
408,456,4,17312,1,2,3,123,6,Potential Loyal
409,62,9,25320,4,4,4,444,12,Loyal / VIP
410,790,1,403,1,1,1,111,3,Lost
411,223,8,20561,2,4,4,244,10,Loyal / VIP
412,50,7,17208,4,4,3,443,11,Loyal / VIP
413,49,3,8600,4,1,1,411,6,Potential Loyal
414,36,2,7889,4,1,1,411,6,Potential Loyal
415,896,2,1945,1,1,1,111,3,Lost
416,324,3,9715,2,1,2,212,5,At Risk
417,52,4,8980,4,2,2,422,8,Potential Loyal
418,59,4,12685,4,2,2,422,8,Potential Loyal
419,84,5,10255,3,2,2,322,7,Potential Loyal
420,459,5,16320,1,2,3,123,6,Potential Loyal
421,76,6,15303,4,3,3,433,10,Loyal / VIP
422,548,5,11972,1,2,2,122,5,At Risk
423,670,3,10081,1,1,2,112,4,At Risk
424,619,5,14366,1,2,3,123,6,Potential Loyal
425,62,5,12512,4,2,2,422,8,Potential Loyal
426,180,4,10239,3,2,2,322,7,Potential Loyal
427,137,5,14494,3,2,3,323,8,Potential Loyal
428,339,7,16117,2,4,3,243,9,Loyal / VIP
429,19,4,5807,4,2,1,421,7,Potential Loyal
430,920,3,6081,1,1,1,111,3,Lost
431,1,5,14957,4,2,3,423,9,Loyal / VIP
432,145,8,26191,3,4,4,344,11,Loyal / VIP
433,596,2,1998,1,1,1,111,3,Lost
434,30,7,13228,4,4,3,443,11,Loyal / VIP
435,18,7,16171,4,4,3,443,11,Loyal / VIP
436,102,3,6221,3,1,1,311,5,At Risk
437,657,3,8776,1,1,2,112,4,At Risk
438,76,4,10803,4,2,2,422,8,Potential Loyal
439,316,3,4115,2,1,1,211,4,At Risk
440,405,5,15615,1,2,3,123,6,Potential Loyal
441,217,5,9936,2,2,2,222,6,Potential Loyal
442,331,3,12032,2,1,2,212,5,At Risk
443,410,5,17189,1,2,3,123,6,Potential Loyal
444,100,6,10788,3,3,2,332,8,Potential Loyal
445,514,5,9444,1,2,2,122,5,At Risk
446,47,7,24805,4,4,4,444,12,Loyal / VIP
447,536,2,3811,1,1,1,111,3,Lost
448,111,3,7644,3,1,1,311,5,At Risk
449,94,5,10076,3,2,2,322,7,Potential Loyal
450,406,8,23219,1,4,4,144,9,Loyal / VIP
451,90,6,13573,3,3,3,333,9,Loyal / VIP
452,22,7,20587,4,4,4,444,12,Loyal / VIP
453,391,4,10823,1,2,2,122,5,At Risk
454,425,5,17685,1,2,3,123,6,Potential Loyal
455,116,4,15020,3,2,3,323,8,Potential Loyal
456,230,2,9083,2,1,2,212,5,At Risk
457,132,5,16123,3,2,3,323,8,Potential Loyal
458,74,3,6910,4,1,1,411,6,Potential Loyal
459,412,4,15600,1,2,3,123,6,Potential Loyal
460,15,8,27338,4,4,4,444,12,Loyal / VIP
461,23,3,12787,4,1,2,412,7,Potential Loyal
462,38,7,23295,4,4,4,444,12,Loyal / VIP
463,377,4,12341,1,2,2,122,5,At Risk
464,122,4,11431,3,2,2,322,7,Potential Loyal
465,959,3,9020,1,1,2,112,4,At Risk
466,791,3,8184,1,1,1,111,3,Lost
467,7,5,20572,4,2,4,424,10,Loyal / VIP
468,252,5,13542,2,2,3,223,7,Potential Loyal
469,615,6,19161,1,3,4,134,8,Potential Loyal
470,155,4,16199,3,2,3,323,8,Potential Loyal
471,87,7,18896,3,4,4,344,11,Loyal / VIP
472,105,5,13059,3,2,3,323,8,Potential Loyal
473,364,6,8736,2,3,2,232,7,Potential Loyal
474,283,6,19227,2,3,4,234,9,Loyal / VIP
475,175,2,5688,3,1,1,311,5,At Risk
476,51,2,8451,4,1,1,411,6,Potential Loyal
477,191,2,7924,2,1,1,211,4,At Risk
478,791,4,14545,1,2,3,123,6,Potential Loyal
479,617,3,6495,1,1,1,111,3,Lost
480,1,3,8069,4,1,1,411,6,Potential Loyal
481,243,5,14978,2,2,3,223,7,Potential Loyal
482,168,6,13719,3,3,3,333,9,Loyal / VIP
483,301,8,17229,2,4,3,243,9,Loyal / VIP
484,273,7,18909,2,4,4,244,10,Loyal / VIP
485,243,8,28080,2,4,4,244,10,Loyal / VIP
486,28,10,19650,4,4,4,444,12,Loyal / VIP
487,863,2,2939,1,1,1,111,3,Lost
488,234,8,24331,2,4,4,244,10,Loyal / VIP
489,371,8,12838,1,4,2,142,7,Potential Loyal
490,673,4,13731,1,2,3,123,6,Potential Loyal
491,431,4,9545,1,2,2,122,5,At Risk
492,60,8,25356,4,4,4,444,12,Loyal / VIP
493,206,8,16629,2,4,3,243,9,Loyal / VIP
494,475,2,2492,1,1,1,111,3,Lost
495,154,4,9602,3,2,2,322,7,Potential Loyal
496,306,4,5841,2,2,1,221,5,At Risk
497,118,9,23974,3,4,4,344,11,Loyal / VIP
498,238,3,8942,2,1,2,212,5,At Risk
499,47,8,19534,4,4,4,444,12,Loyal / VIP
500,53,5,12219,4,2,2,422,8,Potential Loyal
501,511,3,8163,1,1,1,111,3,Lost
502,129,4,9516,3,2,2,322,7,Potential Loyal
503,55,7,20118,4,4,4,444,12,Loyal / VIP
504,418,5,13779,1,2,3,123,6,Potential Loyal
505,43,10,22835,4,4,4,444,12,Loyal / VIP
506,452,5,8562,1,2,1,121,4,At Risk
507,778,5,15061,1,2,3,123,6,Potential Loyal
508,258,4,13208,2,2,3,223,7,Potential Loyal
509,621,3,6070,1,1,1,111,3,Lost
510,427,7,24241,1,4,4,144,9,Loyal / VIP
511,189,5,11152,2,2,2,222,6,Potential Loyal
512,614,1,3132,1,1,1,111,3,Lost
513,3,5,16829,4,2,3,423,9,Loyal / VIP
514,199,3,4187,2,1,1,211,4,At Risk
515,309,3,9660,2,1,2,212,5,At Risk
516,39,6,17779,4,3,3,433,10,Loyal / VIP
517,145,4,6503,3,2,1,321,6,Potential Loyal
518,465,7,10743,1,4,2,142,7,Potential Loyal
519,338,4,11017,2,2,2,222,6,Potential Loyal
520,301,4,5842,2,2,1,221,5,At Risk
521,176,5,10191,3,2,2,322,7,Potential Loyal
522,374,5,13158,1,2,3,123,6,Potential Loyal
523,829,5,16482,1,2,3,123,6,Potential Loyal
524,41,7,16168,4,4,3,443,11,Loyal / VIP
525,162,5,12543,3,2,2,322,7,Potential Loyal
526,9,8,22053,4,4,4,444,12,Loyal / VIP
